start reading files at Sun Dec  3 16:15:13 2023

omp_get_num_threads()=4
Invalid line in data file "TypeOutput				1	1	1	1
"
Invalid line in data file "
"
start initialization at Sun Dec  3 16:15:13 2023

N0a = 9.743096e-01, count=36
N0p = 5.500161e-01, count=8
line:1206 CellCount[DIM]: 35 12 1
line:1207 TotalCellCount: 420
line:1212 CellWidth[DIM]: 1.785714e-02 1.875000e-02 2.000000e-02
start main roop at Sun Dec  3 16:15:14 2023

@ Prof Output Time : 0.000000e+00
line:4564, iter,=123, rr0=,3.838726e+10, rr=,3.622274e-02, rs0=,1.462404e+02, rs=,7.570797e-12
line:4564, iter,=246, rr0=,2.068087e+13, rr=,2.012776e+01, rs0=,8.707040e+04, rs=,4.193947e-09
line:4564, iter,=246, rr0=,2.153857e+13, rr=,2.044790e+01, rs0=,9.067426e+04, rs=,4.270648e-09
line:4564, iter,=245, rr0=,2.241340e+13, rr=,2.226325e+01, rs0=,9.434996e+04, rs=,4.643208e-09
line:4564, iter,=245, rr0=,2.330534e+13, rr=,2.254735e+01, rs0=,9.809731e+04, rs=,4.699517e-09
line:4564, iter,=244, rr0=,2.421435e+13, rr=,2.405096e+01, rs0=,1.019162e+05, rs=,5.064537e-09
line:4564, iter,=244, rr0=,2.514042e+13, rr=,2.441654e+01, rs0=,1.058064e+05, rs=,5.130270e-09
line:4564, iter,=244, rr0=,2.608351e+13, rr=,2.479928e+01, rs0=,1.097678e+05, rs=,5.218887e-09
line:4564, iter,=244, rr0=,2.704359e+13, rr=,2.523148e+01, rs0=,1.138004e+05, rs=,5.308714e-09
line:4564, iter,=243, rr0=,2.802064e+13, rr=,2.777944e+01, rs0=,1.179038e+05, rs=,5.823142e-09
line:4564, iter,=243, rr0=,2.901464e+13, rr=,2.818356e+01, rs0=,1.220782e+05, rs=,5.915747e-09
line:4564, iter,=243, rr0=,3.002556e+13, rr=,2.870370e+01, rs0=,1.263233e+05, rs=,6.013169e-09
line:4564, iter,=243, rr0=,3.105337e+13, rr=,2.911517e+01, rs0=,1.306390e+05, rs=,6.100451e-09
line:4564, iter,=242, rr0=,3.209804e+13, rr=,3.165689e+01, rs0=,1.350253e+05, rs=,6.664818e-09
line:4564, iter,=242, rr0=,3.315955e+13, rr=,3.193372e+01, rs0=,1.394820e+05, rs=,6.725959e-09
line:4564, iter,=242, rr0=,3.423787e+13, rr=,3.223275e+01, rs0=,1.440086e+05, rs=,6.778878e-09
line:4564, iter,=241, rr0=,3.533296e+13, rr=,3.474392e+01, rs0=,1.486053e+05, rs=,7.331783e-09
line:4564, iter,=241, rr0=,3.644481e+13, rr=,3.502752e+01, rs0=,1.532718e+05, rs=,7.374511e-09
line:4564, iter,=241, rr0=,3.757335e+13, rr=,3.516575e+01, rs0=,1.580080e+05, rs=,7.421640e-09
line:4564, iter,=240, rr0=,3.871858e+13, rr=,3.849424e+01, rs0=,1.628138e+05, rs=,8.073382e-09
line:4564, iter,=240, rr0=,3.988047e+13, rr=,3.884465e+01, rs0=,1.676889e+05, rs=,8.160088e-09
line:4564, iter,=240, rr0=,4.105897e+13, rr=,3.924889e+01, rs0=,1.726334e+05, rs=,8.254774e-09
line:4564, iter,=240, rr0=,4.225407e+13, rr=,3.957406e+01, rs0=,1.776469e+05, rs=,8.352225e-09
line:4564, iter,=240, rr0=,4.346574e+13, rr=,4.022437e+01, rs0=,1.827295e+05, rs=,8.463012e-09
line:4564, iter,=239, rr0=,4.469393e+13, rr=,4.403610e+01, rs0=,1.878809e+05, rs=,9.331767e-09
line:4564, iter,=239, rr0=,4.593860e+13, rr=,4.497838e+01, rs0=,1.931007e+05, rs=,9.498040e-09
line:4564, iter,=239, rr0=,4.719974e+13, rr=,4.632273e+01, rs0=,1.983891e+05, rs=,9.752756e-09
line:4564, iter,=239, rr0=,4.847731e+13, rr=,4.719210e+01, rs0=,2.037455e+05, rs=,9.930010e-09
line:4564, iter,=239, rr0=,4.977124e+13, rr=,4.765733e+01, rs0=,2.091696e+05, rs=,1.005236e-08
line:4564, iter,=239, rr0=,5.108153e+13, rr=,4.878632e+01, rs0=,2.146615e+05, rs=,1.021693e-08
line:4564, iter,=239, rr0=,5.240814e+13, rr=,4.996449e+01, rs0=,2.202211e+05, rs=,1.049635e-08
line:4564, iter,=239, rr0=,5.375104e+13, rr=,5.019474e+01, rs0=,2.258482e+05, rs=,1.062495e-08
line:4564, iter,=239, rr0=,5.511015e+13, rr=,5.157745e+01, rs0=,2.315420e+05, rs=,1.083112e-08
line:4564, iter,=239, rr0=,5.648542e+13, rr=,5.229229e+01, rs0=,2.373024e+05, rs=,1.099668e-08
line:4564, iter,=239, rr0=,5.787686e+13, rr=,5.287439e+01, rs0=,2.431295e+05, rs=,1.113989e-08
line:4564, iter,=238, rr0=,5.928439e+13, rr=,5.831799e+01, rs0=,2.490231e+05, rs=,1.223307e-08
